epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,130346,0.93636,0.75156,0.09379,0.87925,1.1768,0.88899,0.8757,0.94818,0.63517,0.91098,0.90167,0.96272,0.93342,1.03874,0.23959,0.00679,0.63739,1.31764,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,131365,0.93081,0.74272,0.09317,0.87592,1.17528,0.89853,0.87848,0.95209,0.63938,0.91988,0.90531,0.96502,0.9351,1.03777,0.23873,0.00678,0.63199,1.31738,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,132379,0.93071,0.73494,0.09199,0.87233,1.17494,0.90202,0.88816,0.95579,0.64301,0.92481,0.91273,0.96715,0.93769,1.03751,0.23801,0.0065,0.62569,1.31736,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,133400,0.9288,0.7452,0.09343,0.87077,1.17507,0.91027,0.89239,0.959,0.64608,0.92698,0.91837,0.96877,0.93971,1.03639,0.23776,0.00652,0.62003,1.31683,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,134418,0.92627,0.73558,0.09262,0.86895,1.17248,0.91242,0.89873,0.9614,0.64807,0.92984,0.92207,0.96971,0.94059,1.03605,0.2373,0.00637,0.61453,1.31656,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,135434,0.92119,0.72514,0.09228,0.86115,1.17137,0.91709,0.90167,0.96394,0.65158,0.93265,0.92489,0.97086,0.94156,1.03466,0.23752,0.00637,0.60934,1.31553,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,136454,0.91859,0.72593,0.0918,0.85302,1.16706,0.92007,0.90631,0.9667,0.65432,0.93552,0.92874,0.97251,0.94299,1.03421,0.23754,0.00648,0.60299,1.31517,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,137474,0.91615,0.71941,0.09161,0.85526,1.16401,0.9343,0.90724,0.96855,0.65387,0.94072,0.92857,0.97327,0.94425,1.03372,0.23707,0.00655,0.59747,1.31498,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,138490,0.91348,0.7112,0.09141,0.84883,1.16461,0.93659,0.9128,0.97021,0.65663,0.947,0.92857,0.97412,0.94532,1.03282,0.2371,0.00666,0.59149,1.31523,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,139508,0.90685,0.70175,0.09009,0.84559,1.15999,0.94402,0.91651,0.97199,0.65743,0.95433,0.9304,0.97487,0.9456,1.03233,0.23807,0.00659,0.58678,1.31551,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,140527,0.90169,0.69815,0.08876,0.8413,1.15675,0.94739,0.91744,0.9733,0.65936,0.95714,0.93221,0.97584,0.94695,1.0317,0.23753,0.00663,0.58254,1.31531,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,141543,0.90193,0.69619,0.09011,0.83849,1.1575,0.94837,0.92012,0.97455,0.66028,0.95708,0.93096,0.97659,0.94703,1.03168,0.23686,0.00677,0.57732,1.31535,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
