epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,22437.5,0.99391,0.99904,0.11333,0.99941,1.20419,0.84459,0.87214,0.92164,0.65058,0.91224,0.90645,0.95857,0.9158,1.0007,0.30436,0.00526,0.65747,1.24832,1.7e-05,1.7e-05,1.7e-05
102,22885.5,0.98994,1.00731,0.11116,1.00146,1.20149,0.84978,0.8692,0.92112,0.65023,0.91613,0.90445,0.95852,0.91624,1.00071,0.30408,0.00524,0.65712,1.24855,1.667e-05,1.667e-05,1.667e-05
103,23332.9,0.98901,0.99619,0.11265,1.00225,1.20766,0.84847,0.86746,0.92005,0.64926,0.91805,0.9041,0.95857,0.91588,1.00055,0.3039,0.00523,0.65804,1.24879,1.634e-05,1.634e-05,1.634e-05
104,23780.2,0.99769,0.99623,0.11102,0.9978,1.20349,0.84899,0.86571,0.91914,0.64838,0.91731,0.90167,0.95853,0.91599,1.00066,0.30361,0.00521,0.65849,1.24901,1.601e-05,1.601e-05,1.601e-05
105,24228.1,0.99069,1.0152,0.11221,1.00303,1.20619,0.85138,0.86735,0.91942,0.64833,0.91715,0.90372,0.95849,0.91636,1.00053,0.30345,0.00517,0.6575,1.24925,1.568e-05,1.568e-05,1.568e-05
106,24676.4,0.98374,0.9881,0.11109,0.99396,1.20209,0.8513,0.86567,0.91922,0.64776,0.91629,0.90375,0.95822,0.91663,1.00023,0.30264,0.00513,0.65774,1.24906,1.535e-05,1.535e-05,1.535e-05
107,25124.9,0.97847,0.99596,0.11165,0.98738,1.19767,0.85208,0.86567,0.9191,0.64801,0.92024,0.90074,0.95816,0.91617,0.99982,0.30243,0.00508,0.65792,1.2491,1.502e-05,1.502e-05,1.502e-05
108,25572.4,0.98862,0.98337,0.11054,0.99906,1.20254,0.85177,0.86356,0.9184,0.64811,0.92031,0.90074,0.95808,0.91672,1.00005,0.30207,0.00501,0.65773,1.24938,1.469e-05,1.469e-05,1.469e-05
109,26020.4,0.99362,1.00488,0.11132,0.99756,1.20103,0.84989,0.8666,0.9184,0.64777,0.92037,0.9026,0.95836,0.91667,0.99987,0.30131,0.00501,0.65701,1.24966,1.436e-05,1.436e-05,1.436e-05
110,26469.2,0.98089,0.97368,0.11085,0.98984,1.19669,0.85016,0.86845,0.919,0.64792,0.92228,0.9027,0.9586,0.91701,0.99992,0.30113,0.00501,0.65586,1.2498,1.403e-05,1.403e-05,1.403e-05
