epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
73,19372.5,0.88887,0.41167,0.07937,0.67496,0.01033,0.04089,0.97917,0.9594,0.9759,0.6569,0.98106,0.96126,0.98262,0.9598,1.06186,0.19851,0.0073,0.39949,0.0216,0,0.00015744,0.00015744,0.00015744
74,19636.2,0.87751,0.40498,0.07957,0.66972,0.01019,0.034,0.97599,0.95918,0.97525,0.65738,0.97788,0.96104,0.98264,0.95985,1.06119,0.19845,0.0071,0.4006,0.02159,0,0.00015546,0.00015546,0.00015546
75,19898.6,0.87423,0.40607,0.07818,0.66625,0.01015,0.03403,0.97707,0.95918,0.97512,0.65669,0.97896,0.96104,0.98285,0.95957,1.06056,0.19852,0.00687,0.39991,0.02158,0,0.00015348,0.00015348,0.00015348
76,20160.8,0.864,0.40966,0.07743,0.65833,0.01006,0.04481,0.97436,0.95197,0.97489,0.65696,0.97626,0.95382,0.98237,0.95889,1.05899,0.1984,0.0066,0.40289,0.02155,0,0.0001515,0.0001515,0.0001515
77,20423.9,0.86753,0.40222,0.07747,0.65787,0.01007,0.02968,0.98089,0.95237,0.97518,0.65808,0.9828,0.95422,0.98266,0.95917,1.05893,0.19846,0.00639,0.40074,0.02155,0,0.00014952,0.00014952,0.00014952
78,20686.5,0.85902,0.40062,0.07681,0.65029,0.00993,0.02847,0.98181,0.95126,0.97633,0.65988,0.98372,0.95311,0.98304,0.95967,1.05812,0.19865,0.00627,0.3985,0.02151,0,0.00014754,0.00014754,0.00014754
79,20949.1,0.85663,0.40118,0.07614,0.64888,0.0099,0.03304,0.97547,0.95547,0.97509,0.65926,0.97737,0.95733,0.98244,0.95899,1.05573,0.1988,0.0061,0.40093,0.02149,0,0.00014556,0.00014556,0.00014556
80,21211.6,0.84775,0.38957,0.07498,0.63204,0.00977,0.01873,0.97718,0.95083,0.97585,0.66017,0.97909,0.95269,0.98218,0.95894,1.05532,0.19884,0.00595,0.40084,0.02148,0,0.00014358,0.00014358,0.00014358
81,21473.2,0.84346,0.38334,0.0742,0.63237,0.00978,0.01674,0.97727,0.94991,0.97523,0.66021,0.97917,0.95176,0.98207,0.95868,1.05403,0.19877,0.00586,0.40108,0.02146,0,0.0001416,0.0001416,0.0001416
82,21735.3,0.84754,0.38762,0.07356,0.63656,0.0097,0.02335,0.97811,0.95347,0.97422,0.65921,0.98002,0.95533,0.97744,0.9579,1.05383,0.19841,0.00581,0.39986,0.02145,0,0.00013962,0.00013962,0.00013962
83,21998.2,0.83692,0.3781,0.07356,0.6255,0.0096,0.02857,0.98023,0.95269,0.97449,0.65958,0.98214,0.95455,0.97744,0.95795,1.05307,0.19837,0.00568,0.39819,0.02143,0,0.00013764,0.00013764,0.00013764
