epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
82,14229.9,1.00209,0.50686,0.09746,0.84035,0.0116,0.05747,0.96923,0.94991,0.97121,0.64365,0.9768,0.95455,0.97432,0.95398,1.10163,0.21532,0.01344,0.43593,0.02244,0,0.0002327,0.0002327,0.0002327
83,14403.1,0.99934,0.49954,0.09512,0.82765,0.01174,0.05556,0.97056,0.9462,0.97135,0.64321,0.97641,0.95176,0.97435,0.95368,1.10157,0.21549,0.01333,0.43536,0.02243,0,0.0002294,0.0002294,0.0002294
84,14576.2,1.00257,0.51217,0.09486,0.83067,0.01163,0.05631,0.97083,0.94991,0.97145,0.64521,0.97674,0.95547,0.97432,0.95354,1.10033,0.21554,0.01316,0.43368,0.02242,0,0.0002261,0.0002261,0.0002261
85,14748.7,0.99763,0.49656,0.09394,0.83202,0.01164,0.04939,0.97145,0.94991,0.97152,0.64493,0.97901,0.95547,0.9742,0.95395,1.10013,0.21554,0.0131,0.43365,0.02241,0,0.0002228,0.0002228,0.0002228
86,14921.6,0.99641,0.49879,0.09404,0.82976,0.01158,0.03932,0.97181,0.94805,0.97102,0.64493,0.97903,0.95259,0.97368,0.95336,1.09918,0.21571,0.013,0.43533,0.0224,0,0.0002195,0.0002195,0.0002195
87,15095.1,1.00158,0.50946,0.09325,0.83681,0.01171,0.043,0.97248,0.95071,0.97125,0.64531,0.97904,0.95315,0.97401,0.95396,1.09892,0.21779,0.01309,0.43518,0.02238,0,0.0002162,0.0002162,0.0002162
88,15268.7,0.99558,0.50927,0.0923,0.82814,0.01159,0.04897,0.97159,0.95173,0.9713,0.64488,0.97998,0.9536,0.97396,0.95358,1.09768,0.21744,0.01305,0.4352,0.02236,0,0.0002129,0.0002129,0.0002129
89,15442.3,0.99417,0.49837,0.09246,0.82568,0.0116,0.03565,0.97181,0.95269,0.97149,0.64558,0.98013,0.95733,0.97596,0.95378,1.0973,0.21752,0.01296,0.43337,0.02236,0,0.0002096,0.0002096,0.0002096
90,15615.1,0.99073,0.50007,0.09213,0.82253,0.01158,0.02907,0.97253,0.95234,0.97141,0.64478,0.97794,0.95733,0.97595,0.95349,1.09824,0.21826,0.01284,0.43247,0.02237,0,0.0002063,0.0002063,0.0002063
91,15788.1,0.98706,0.49264,0.09195,0.8191,0.01154,0.04657,0.97217,0.95176,0.97125,0.6429,0.97818,0.95663,0.97597,0.95363,1.09697,0.21779,0.01265,0.4344,0.02236,0,0.000203,0.000203,0.000203
